MeSH ID	Class List
D045888	3|2
D018305	3|2
D005729	3|2
D017219	2|3
D005770	3|1|2
D046152	3|1|2
D015973	3|1|2
D015972	3|1|2
D017491	3|2
D019398	3|2
D024522	3|2
D016163	3|2
D007426	3|2
D017431	3|2
D052138	3|1|2
D016514	3|2
D016515	3|2
D016161	3|2
D016147	3|1|2
D016162	3|1|2
D019940	3|2
D019254	2|3
D018815	3|2
D018773	3|2
D018734	3
D016236	3|2
D016762	3|2
D016758	3|2
D016258	3|2
D020570	3|2
D016259	3|2
D019942	3|2
D016158	3|2
D011905	3|2
D020573	3
D020571	3|2
D016391	3|2
D005833	3|1|2
D005834	3|1|2
D018237	3|2
D031901	3|1|2
D018212	3|1|2
D005870	3|1|2
D005887	3|1
D005901	1
D020327	1
D015812	1
D015355	1
D005902	1
D005909	3
D005910	3|2
D018315	3|2
D018316	3|1|2
D005925	3|1|2
D005918	3|1|2
D043604	3|1
D005935	3|2
D018149	3|2
D038321	3
D038362	2|3
D038341	3
D006007	3
D017273	3|2
D006085	1
D020544	3|1|2
D020350	3|1|2
D016586	3|1|2
D006106	1
D048091	3|1|2
D016557	3|1
D006177	2|3
D052661	3|2
D045325	3
D024742	3
D031845	3|2
D020859	3|2
D006251	1
D006258	3|1|2
D019123	3
D006299	3|2
D006322	1
D006338	3|1|2
D018883	1
D006360	2|3
D050888	3
D018869	3
D018325	3|2
D006390	3|2
D018323	3|2
D006393	3|2
D006394	3|1|2
D019337	3|1|2
D018380	3|2
D006415	3|2
D006431	3|2
D018197	3|2
D017228	3
D051539	3|2
D051597	2|3
D054747	3|1|2
D051642	3|2
D018219	3|2
D051677	3|2
D006707	3
D017052	1
D016852	3|1|2
D051959	1
D006816	3
D018327	3
D006821	3|2
D006825	3|2
D006849	3|2
D006946	1
D004057	3|2
D006961	3|2
D049950	3|2
D006962	3
D007012	1
D007018	3|2
D007029	3|1|2
D020672	3
D007052	3|2
D051740	3|2
D007078	1
D017543	1
D018796	3|2
D016496	1
D007226	1|2|3
D058922	1
D015192	3|1|2
D007260	3|2
D015918	3
D007261	3|2
D051034	1|2|3
D051798	3|2
D007328	3|1|2
D007329	3|1|2
D007330	3|1|2
D007331	3|1|2
D007332	1
D055504	1
D007333	1
D049528	1
D007336	1
D018970	1
D018971	1
D018972	1
D018974	1
D018975	1
D018976	1
D018969	1
D007334	1
D007335	1
D050417	1
D007340	1
D039302	3|2
D007414	3|1|2
D044483	3|2
D002532	1
D002537	1
D020767	3|2
D015811	3|1|2
D007510	3|2
D058228	1
D007573	3|1|2
D007580	3|1|2
D020014	3|2
D051861	3|2
D017567	3|2
D017492	3
D007660	3|2
D007662	3|2
D007680	3|1|2
D007708	1
D018285	3|1|2
D020232	3|2
D007725	3|1|2
D054752	1
D007822	3|1|2
D020227	3|2
D007890	3|1|2
D007938	2|3|1
D053605	2|3|1
D053680	3|1|2
D007939	3|1
D007940	3|1|2
D007941	3|1|2
D001909	3|1|2
D005256	3|1|2
D017989	3|1|2
D009052	3|1|2
D015448	3|1
D015471	3|1|2
D015456	3|1|2
D015472	3|1|2
D004915	3|1|2
D007942	3|1|2
D016582	3|1|2
D007943	3|1|2
D054066	3|1
D015451	3|1|2
D007945	3|1|2
D007946	2|3|1
D007947	3|1|2
D007948	3|1|2
D015464	3|1|2
D007951	3|1|2
D015465	3|1|2
D015470	3|1|2
D054438	3|1|2
D015466	3|1|2
D015479	3|1|2
D015477	3|1
D054429	3|1|2
D015467	3|1
D007952	3|1
D015463	3|1|2
D054403	3|1|2
D015461	2|3|1
D015473	3|1|2
D007953	3|1|2
D015458	3|1
D015459	3|1
D017254	3|1|2
D007955	3|2
D049292	3
D007984	3|1|2
